Tweet,Suicide,preprocess
@wimcoekaerts Shouldn't that be life in the 'car pool lane' my friend ?,Not Suicide post,not life car pool lane friend
@gfrdtagon also again i hate making a comeback to rp bcs i caused many bad things that shudnt have happened:(:( bubâ¦ https://t.co/eqirspU9fo,Potential Suicide post ,hate making comeback rp bcs caused bad thing shudnt happened bub
me as a future therapist: damn :/ it be like that sometimes,Potential Suicide post ,future therapist damn
@erickaaa haha awww. i had amazing pizza 2day for much after my photoshoot =D i will take u out hehe..u gonna answer ur fone 2night? xx,Not Suicide post,haha aw amazing pizza day photoshoot hehe answer fone night xx
@jodonahue Yes it is!,Not Suicide post,
@dareanderae I love you ððð,Not Suicide post,love
@petemc My Mrs is always telling me off for this - sit and enjoy the moment instead of trying to take photos of it!!!,Not Suicide post,mr telling sit enjoy moment photo
"Wait I take this back, I fucking hate living in Markham and I want to actually kill myself damn",Potential Suicide post ,wait back fucking hate living markham kill damn
@modejunkie awww sweetness! But he's still a cutie!,Not Suicide post,aw sweetness cutie
@mikeyway Cute,Not Suicide post,cute
Life's so short man I couldnt stress enough how important it is for you to live your love with peace and good energy!,Not Suicide post,life short man not stress important live love peace good energy
@Treenz22 @mynameislloyd @fritzanator Awesome time tonight. I knew you would check twitter before bed. Ha Ha,Not Suicide post,awesome time tonight knew check twitter bed ha ha
I like the sound of my new job title. Inventory manager.,Not Suicide post,sound job title inventory manager
RT @mercurymalek: i fucking BEG YOU just leave me here to die I DESERVE IT https://t.co/kFBttqboUe,Potential Suicide post ,retweet fucking beg leave here die deserve
RT @palestinianho: patient: i hate myself and i want to die,Potential Suicide post ,retweet patient hate die
"@UnclaimedAna2 The worst part is I tire easily and I love napping. Fortunately I donât get tired until after work,â¦ https://t.co/EyDeIthBBG",Potential Suicide post ,worst part tire easily love napping fortunately not tired work
http://twitpic.com/2y9iv - When Chelsea brings me chocolate and diet coke I'm happy again,Not Suicide post,chelsea brings chocolate diet coke happy
I think she was merely directing the comment at you because she thought you might want to know.,Not Suicide post,directing comment thought
I do not want all this.,Not Suicide post,not
Sometimes youâll never know how bad you fucked up until one day you wake up with nothing,Potential Suicide post ,bad fucked day wake
RT @cparham65: Liberals say conservatives are evil. NOTHINGâs further from the truth! We believe in âlive &amp; let liveâ. Libs think that bigâ¦,Potential Suicide post ,retweet liberal conservative evil nothing truth live live libs big
"@youractionlink,Utah,Want to take that perfect selfie? Hereâs what you should be looking for in your phone camera!",Potential Suicide post ,utah perfect selfie here phone camera
"#FreeKaavan Another year has passed and I am still alone, sad and suffering. Will I ever live with dignity? Or willâ¦ https://t.co/bk4rdiwZSc",Potential Suicide post ,year passed sad suffering live dignity
"I just want to remind yâall that without Iris, Barry Allen would be dead right now. But sheâs useless right?â¦ https://t.co/vloroTurEZ",Potential Suicide post ,remind iris barry allen dead useless
"@RedMummy I feel better today, got some sleep and its not raining so can take the beasts out",Not Suicide post,feel today sleep not raining beast
@CITYPUBLICITY During revamp and shortly after. They're out of $ now &amp; in real trouble... but I'm going to be good &amp; not bag them publicy,Not Suicide post,revamp shortly dollar real trouble good not bag publicy
i want to be a businessman.,Not Suicide post,businessman
AFTER EFFECTS HAS FROZEN AND I DID NOT I REPEAT I DID NOT SAVE MY EDIT I WANT TO ACTUALLY FUCKING DIE .... IT TOOKâ¦ https://t.co/yif8DABTQm,Potential Suicide post ,effect frozen not repeat not save edit fucking die
Oh god sweet nicotine and tar i crave you both so bad today what is wrong with me lol hahaha XX,Not Suicide post,god sweet nicotine tar crave bad today wrong laughing loud hahaha xx
@callumfloyd Welcome to the jungle!,Not Suicide post,jungle
"@NFear,Chicago, IL,Life is hard. I never thought Iâd come onto social media to vent/talk about my feelings. But man my life sucks. I dont want attention but I know this tweet makes it look like I do. Iâm done streaming, YouTube, and just playing games all together. Just donât wanna be here anymore.",Potential Suicide post ,chicago il life hard thought id social medium vent talk feeling man life suck not attention tweet make streaming youtube playing game not here anymore
i am a 20 year old transgirl who has been on hormones for about 4 months recently i suffered from a depressive episode due to gender dysphoria until about a couple weeks ago i just got a job and i was presenting myself as female and using a female name the only problem is that i still look somewhat masculine so i get stared at constantly and dismissed i cannot connect with any of my coworkers because i look and act strange to them i know i am supposed to wait on these hormones but i am really scared what if they dont work what if i ll get beaten up what if i lose my job due to just being me i want to be happy but its so hard its gotten to the point where all i do is just think about death and hope maybe i will get a do over i just cant take any of this anymore,Potential Suicide post ,year transgirl hormone month recently suffered depressive episode due gender dysphoria couple week ago job presenting female female problem masculine stared constantly dismissed connect coworkers act strange supposed wait hormone scared not work ll beaten lose job due happy hard point death hope anymore
morning everyone.,Not Suicide post,morning
"RT @hanniepower: Today, one year ago, I lost a neighbour, and friend, to #suicide. So here is a quote that got me through my worst times. Fâ¦",Potential Suicide post ,retweet today year ago lost neighbour friend here quote worst time
@T_sos2 9 tails or not if he wanted to kill him heâd be dead. Itachi couldâve killed him but he didnât want to...idâ¦ https://t.co/ndYXd8jgBu,Potential Suicide post ,tail not wanted kill dead itachi killed not id
RT @Gorb_FanClub: Congratulations to Gorb for graduating middle school. We all hope you strive for greatness like you do on cod4,Not Suicide post,retweet congratulation gorb graduating middle school hope strive greatness cod
I just had to google &quot;How to insert MicroSD into Blackberry Bold&quot; Found it though!,Not Suicide post,google insert microsd blackberry bold found
"Awake....hopin my big brother gots time 4 me 2day, just a lil bit atleast. Yay but Katelyn might come up to hang with me",Not Suicide post,awake hopin big brother gots time day lil bit atleast yay katelyn hang
RT @Bob41Dylan: Happy birthday to the legendary Neil Young! He turns 73 today! https://t.co/E5DRjzKM6i,Not Suicide post,retweet happy birthday legendary neil young turn today
"RT @darkles_sparkle: @GameOfThrones ""My name is Arya Stark. I want you to know that. The last thing youâre ever going to see is a Stark smiâ¦",Potential Suicide post ,retweet arya stark thing stark smi
"@marijamilovanov oh, hell yeah... but, that list should be made very passionately... oops, I ment patiently",Not Suicide post,hell yeah list made passionately oops ment patiently
@ImWendy lol - yeah they can be loud so depends where your dryer is but they do get rid of the static - very sneaky bout the dog lolx,Not Suicide post,laughing loud yeah loud depends dryer rid static sneaky dog lolx
somebody just fucking kill me please,Potential Suicide post ,fucking kill
@FuckenJew Too shy for that. Plus he already stole my brain in my sleep.,Not Suicide post,shy stole brain sleep
@Linc4Justice nah- you're not unfortunate- i dont eat that stuff cause i want to live a few years longer- you're one of the smart ones,Not Suicide post,nah not unfortunate not eat stuff live year longer smart
@mileycyrus yess I do ! and im in boston for a college fair and not school hahaa,Not Suicide post,yes boston college fair not school hahaa
@mikebairos we don't have tix just going to attend festivities,Not Suicide post,not tix attend festivity
happy birthdaaaaayyy bebe @noveloraineee ðgodbless youuu,Not Suicide post,happy birthday bebe godbless
@darkmagique O Yes i aM For Sure! Am sooo happy that he checked it out AgaiN... What TiMe ?..Onish? Jaaaaaah ! Lolm !,Not Suicide post,happy checked time onish jah lolm
"Downloaded the pollock app, I quite like it! Drew a flower lolz http://twitpic.com/2y7t8",Not Suicide post,downloaded pollock application drew flower lolz
I literally hate myself for reading this damn book,Potential Suicide post ,literally hate reading damn book
@FortniteGame Better be adding bouncers back then. No way yâall are dumb enough to add this big a game change thenâ¦ https://t.co/2GGc72XP5a,Potential Suicide post ,adding bouncer back dumb add big game change
RT @VRachal33: I swear to move forward or get ahead in life,Not Suicide post,retweet swear move forward ahead life
@intelligensia And a following four day week,Not Suicide post,day week
@JosephSadowitz @trs63 @forensicpathmd @drjudymelinek @NRA I donât want your guns. Seriously. Iâm not sure who doesâ¦ https://t.co/1JZiyqovSd,Potential Suicide post ,not gun not
"@sallyinnorfolk awww, you'll have to use Twitter for company",Not Suicide post,aw twitter company
@espiral08 we're coming back on sunday or monday!,Not Suicide post,coming back sunday monday
i just realized that in a month i can celebrate my birthday with watching the Wolverine movie then wwe Raw nice timing,Not Suicide post,realized month celebrate birthday watching wolverine movie wwe raw nice timing
in the process of making doll no. 2 and it's looking heaps better and cuter,Not Suicide post,process making doll heap cuter
"@laurenbullo_k,Manchester, England,RT @jaemverse: i just dont want to be here anymore",Potential Suicide post ,manchester england retweet not here anymore
i cant wait to get this damn nose job so i can take new selfies 'cause i hate every single picture of myself includâ¦ https://t.co/86DCY27jXT,Potential Suicide post ,wait damn nose job selfies hate single picture includ
"@KayKay89 www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!! &amp; FOLLOW me , Cheers x",Not Suicide post,video comment suscribe follow cheer
@thirdsectorlab Greetings.,Not Suicide post,
@7anno he is a son of one of my friends,Not Suicide post,son friend
f&amp;@k the weather!! I'm in Paris! Let's go have a beautiful day,Not Suicide post,weather paris beautiful day
Iâm such a. Disgusting disappointment Iâve gotten visibly fatter my cheeks are puffy and my stomach has actually deâ¦ https://t.co/pzeLi6sSIH,Potential Suicide post ,disgusting disappointment visibly fatter cheek puffy stomach de
RT @RICHSOLEEK: Iâm happy I ainât the same person I was last year.,Not Suicide post,retweet happy not person year
almost broke down at class just because the most negative thoughts are kicking in and I'm mf tired of living hahahahahahahah,Potential Suicide post ,broke class negative thought kicking motherfucker tired living hahahahahahahah
i keep repeating to myself kill yourself kill yourself do it already i am ready to listen to my inner thoughts i have attempted in the past but at the last moment either i live through it just in a hellblaze of pain becoming a even bigger failure or my body stops me my mind screams to do it but sometimes my body just stops me sometimes my body will give up on life and i ll lay there wanting to shed a tear yet i know no one will care so i lay quietly in the darkness for days on end i try to drown out the voices with all i have left music but recently i dont care to listen to all i have to do what has stuck with me for all my life i am ready to listen to the voices i m ready to listen to my inner shouts if only i had easier access to guns my life would be so much harder but i dont instead i have to go out in either a more painfull way i hope others continue to have the will to carry on but sadly i think i lost mine ,Potential Suicide post ,repeating kill kill ready listen thought attempted past moment live hellblaze pain bigger failure body stop mind scream body stop body give life ll lay wanting tear care lay quietly darkness day end drown voice left music recently not care listen stuck life ready listen voice ready listen shout easier access gun life harder not painfull hope continue carry sadly lost mine
@paulhuse ouch,Not Suicide post,ouch
gonna go cut up some chickeeeen,Not Suicide post,cut chicken
@tarik653 I didn't want to think about it.,Not Suicide post,not
"@Jane_rodriguezz,Cotulla, TX  //  Lacoste, TX,RT @jaemverse: i just dont want to be here anymore",Potential Suicide post ,cotulla tx lacoste tx retweet not here anymore
@foodphilosophy magic rejuvenation...hmm I'm thinking Triple Oxygen Mask http://is.gd/kQkq and a Blissage105! Hang in there!,Not Suicide post,magic rejuvenation hmm thinking triple oxygen mask blissage hang
JUST FUCKIN KILL ME,Potential Suicide post ,fuckin kill
@Bhavika looks like u found all the beer,Not Suicide post,found beer
i just want to have a friend or a group of friends that dont leave me out,Potential Suicide post ,friend group friend not leave
@jyl_MomIF LoL today any woman who can handle 7 kids inspires me #inspire,Not Suicide post,laughing loud today woman handle kid inspires
#smallbizz #entrepreneur #entrepreneurlifestyle https://t.co/dEHV7DED58,Potential Suicide post ,
"RT @milatorres170: I never had to do the most , throw shade or hate. I can be quiet and bitches still want me dead. Thatâs pure Hate and Iâ¦",Potential Suicide post ,retweet throw shade hate quiet bitch dead pure hate
"RT @Sal929: @WyattEarpLA Iâm actually tired of this!!! Itâs like living in a home where the troubled, deceitful child always wins! Itâs notâ¦",Potential Suicide post ,retweet tired living home troubled deceitful child win not
Good morning! The sun is shining and I am going to the beach with a few bff's. See later when I am all tan.,Not Suicide post,good morning sun shining beach bff tan
RT @palestinianho: patient: i hate myself and i want to die,Potential Suicide post ,retweet patient hate die
But God does not only want us to be HAPPY; He wants us to be good.,Not Suicide post,god not happy good
Photo: eatsleepdraw: so weirdÃ¯Â¿Â½ I like it. http://tumblr.com/xig1jujl3,Not Suicide post,photo eatsleepdraw weird
"yo i seriously need to stop being so damn clingy to people,,like i'm so bloody annoying i hate myself",Potential Suicide post ,yo stop damn clingy people bloody annoying hate
@tonytay113 hi thanks for the follow! did you finish fob trail?,Not Suicide post,follow finish fob trail
I donât want them to come for my account. Literally the only thing keeping me through the miserable existence thatâ¦ https://t.co/XJF6MP8fJ7,Potential Suicide post ,not account literally thing keeping miserable existence
RT @juicymarilee: i am such a loving and caring person,Not Suicide post,retweet loving caring person
@nomadicmatt i'd like to be linked on your site http://www.worldresolution.net/travel,Not Suicide post,linked site
"@nminers Wherever the day takes us! On route to Youlgreave at mo, sun is waking up!",Not Suicide post,day take route youlgreave mo sun waking
my sleep was disturbed. i am looking to end a career today,Not Suicide post,sleep disturbed end career today
"@joshuawhite well, you do spend enough time there that you may as well subsidize your habit.",Not Suicide post,spend time subsidize habit
,Not Suicide post,nan
Tired of living day by day like everythingâs alright,Potential Suicide post ,tired living day day everythings alright
I just want to protect you...,Not Suicide post,protect
We had a visit from our lovely zone head today .... nice,Not Suicide post,visit lovely zone head today nice
We were tired from the concert so we ate noodles instead. After weâd eaten Emily saw photos that the restaurant hasâ¦ https://t.co/uqI5KXdJD6,Potential Suicide post ,tired concert ate noodle wed eaten emily photo restaurant
RT @HanaMichels: I just found a suicide note (I'm fine) I wrote in April. Seems like my dates were wrong! This year. NBC commentators keepâ¦,Potential Suicide post ,retweet found suicide note fine wrote april date wrong year national broadcasting company commentator
@MrsZee Go you,Not Suicide post,
"Fast &amp; Furious: New Model, Original Parts a really good film",Not Suicide post,fast furious model original part good film
Ecstatic that Wal-Mart now carries Sambazon!!!,Not Suicide post,ecstatic wal mart carry sambazon
i was assigned to sit next to the most awesome student in my class (Y) hahaha,Not Suicide post,assigned sit awesome student class hahaha
"RT @AUTHORSWEEK: Congratulations Seye @seyeoke for being the latest @Author of the Week @AUTHORSWEEK. Keep on creating, keep on writing andâ¦",Not Suicide post,retweet congratulation seye latest week creating writing
#Success consists of going from failure to failure without loss of enthusiasm. Winston Churchill #quote #persistence,Not Suicide post,consists failure failure loss enthusiasm winston churchill
"@joyreaper @WolfensPride @BreitbartNews No doubt the Obamaâ fostered hate, division, chaos and anarchy! They are thâ¦ https://t.co/x5ch7odIZ9",Potential Suicide post ,doubt obama fostered hate division chaos anarchy
"@SuccessorLuke,,I donât wanna be here anymore. My parents pressure me too much about getting a job like I am soliciting and such and yet they complain. I dont feel comfortable living in my own house anymore. All I want is just leave here for good and go to another country",Potential Suicide post ,not here anymore parent pressure job soliciting complain not feel comfortable living house anymore leave here good country
"@kingxhesh,,just fucking kill me already i dont want to be here anymore",Potential Suicide post ,fucking kill not here anymore
"said he has a job but has time for this shit, cant wait to see him next time i go on a maccas run!",Potential Suicide post ,job time shit wait time maccas run
Thinking of a hamsty bank account. That's a good idea to save. (^.^),Not Suicide post,thinking hamsty bank account good idea save
"@saulashby I really like the photo. Nice interview, too",Not Suicide post,photo nice interview
i ll be dead just you wait and see my last words before my death for whoever is interestedi am sorry but youre better off without me youll learn to live without me it wont be difficult now i shall die ,Potential Suicide post ,ll dead wait word death interestedi learn live not difficult die
But I know you want to hear about my examinations.,Not Suicide post,hear examination
feeling numb hate my job i hate waking up everyday i feel nothing feel like i am on autopilot i got dumped 3 months ago almost from a 4 year relationship nothing cheers me up anymore my parents are in another state so i just can t go see them whenever i want i don t know if i could actually end it myself but i do dream of other ways like a car hitting me and killing me instantly i sometimes think of just taking a bunch of pills and letting that be it ,Potential Suicide post ,feeling numb hate job hate waking everyday feel feel autopilot dumped month ago year relationship cheer anymore parent state don end dream way car hitting killing instantly taking bunch pill letting
Got a &quot;thing&quot; for doctor chics.,Not Suicide post,thing doctor chic
"@caringcorbyn,im not okay lol ,i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literally cant i want everything to be over. i cant breathe right because of how much im crying i cant do this anymore.",Potential Suicide post ,not laughing loud literally explain happened not here anymore fuck point literally breathe cry anymore
@jessedonoe I mean.... my life is miserable so I guess light at the end of the tunnel,Potential Suicide post ,life miserable guess light end tunnel
@yahoops thanks David,Not Suicide post,david
he didn't want her to go out with other man,Not Suicide post,not man
Cut my wrist and black my eeeeeyes,Potential Suicide post ,cut wrist black eye
Happieee birthday to our anni #AarthiSivaKarthikeyan ðð,Not Suicide post,happie birthday anni
Hate the fact that Iâm damn near forced to figure everything out by myself but it must be done,Potential Suicide post ,hate fact damn forced figure
"mmm OJ, scrambled eggs w/ cheese and toast GILMOREGIRLS TOO! ahhh. this day is amazing.. now if i could only get the dryer to work.",Not Suicide post,oj scrambled egg cheese toast gilmoregirls ah day amazing dryer work
@gypsytrading,Not Suicide post,
"@im2byteme I'm all for the Fair Tax, or Bush's deficit back. Something!",Not Suicide post,fair tax bush deficit back
"@KellyNg With mainstream media's reporting &amp; the increasing occurrence of the fail whale, you know eventually your friends will catch on",Not Suicide post,mainstream medium reporting increasing occurrence fail whale eventually friend catch
"Seeing Eno on Thursday Brian Eno &amp; J. Peter Schwalm Ã¯Â¿Â½ Like Pictures, Pt. 2 (ntnet) ? http://blip.fm/~3xcys",Not Suicide post,eno thursday brian eno peter schwalm picture pt ntnet
"while im fuckin at it, http://is.gd/q86o buy a shirt please",Not Suicide post,fuckin buy shirt
MEGA MONSTER MUNCH,Not Suicide post,mega monster munch
I can just imagine how much of that Howard would want to know.,Not Suicide post,imagine howard
God damn vending machines are so depressing -standing at them waiting for your sad little snack like some Pavlovian bitch! Happy Tuesday!,Not Suicide post,god damn vending machine depressing standing waiting sad snack pavlovian bitch happy tuesday
i don't want to be here anymore,Potential Suicide post ,not here anymore
"Noticed something interesting about this emoticon: vs D: Totally different emotions, only difference is the placement of the eyes...",Not Suicide post,noticed interesting emoticon totally emotion difference placement eye
May you live every day of your life: Jonathan Swift,Not Suicide post,live day life jonathan swift
"@derekmusial,,@landonb94 @KidsSeeGhoats ok hold on, how can these numbers not be correct anymore if the video is two weeks old...? strength of schedule and record dont change too much in two weeks. and if yall dont care about top 4 why are you here? won your division, overranked to begin with, what else you want?",Potential Suicide post ,hold number not correct anymore video week strength schedule record not change week not care top here won division overranked begin
RT @mpparimal: Remembering the legendary former #PresidentOfIndia Sh #APJAbdulKalam on his auspicious birthday,Not Suicide post,retweet remembering legendary sh auspicious birthday
"i'm tired of everything, pls so i want to die.",Potential Suicide post ,tired die
"@hortovanyi The road's not the widest and smoothest, but there's some great clear views on the way up if you turn your head to the right",Not Suicide post,road not widest smoothest great clear view turn head
"Now scribes can't wear their shoes to any Press Conference, thanks to Jarnail Singh...",Not Suicide post,scribe wear shoe press conference jarnail singh
just chillin =P i mean holidays.. nothing to do.. silence.. only me.. *haha* finally my relaxing time.. with a book typical for me!! &lt;3,Not Suicide post,chillin holiday silence haha finally relaxing time book typical
Watching This Morning and deciding what to do with myself today. Think I'll keep searching for that elusive job!,Not Suicide post,watching morning deciding today searching elusive job
RT @NiallOfficial: 2 wins in 2 weeks . Congratulations @TyrrellHatton ! Machine,Not Suicide post,retweet win week congratulation machine
@Target I am loving you a.n.d line at the moment! And my bank balance is liking it too! Great style made affordable #style #shopping,Not Suicide post,loving line moment bank balance liking great style made affordable
@DonnieWahlberg Lucky for me I'm going to see that show in NY I hope that you will bring it to Europe too in the fall. I'll be there too,Not Suicide post,lucky show ny hope bring europe fall
"im so tired today. i want to lay in a bed full of boys and just have hugs sounds so good, probably look even better.",Not Suicide post,tired today lay bed full boy hug sound good
"i have such a nasty habit of comparing myself to other girls, damn, i hate myself :-(",Potential Suicide post ,nasty habit comparing girl damn hate
yea Iâm tired of living by myself ð­,Potential Suicide post ,yea tired living
schÃ¯Â¿Â½nes Marketingwort: Stimulus Package http://www.dkny.com/sweepstakes/sweepstakes.php,Not Suicide post,sch ne marketingwort stimulus package
@philthatremains totally jst started blasting ATR at 10am dude. My mom is gonna kill me. BUT WHO CARES!,Not Suicide post,totally started blasting atr dude mom kill care
"@SkylerTinney00,Graham, TX,RT @lilbluezcluez: i dont want to be here anymore",Potential Suicide post ,graham tx retweet not here anymore
Tim Fischer was on to talk about his love for his family and hisâ¦,Not Suicide post,tim fischer talk love family
All I want rn is to get home and take a fucking shower and die,Potential Suicide post ,home fucking shower die
"@Kaschua no!, just didn't know if you thought putting stuff on your cat was phobe instead of phile. Glad kittys like the dome.",Not Suicide post,not thought putting stuff cat phobe phile glad kitty dome
RT @TheOceaneOpz: I deadass hate my damn PSN name. I wish I named myself Powerpuff234 .. There is at least one person in every 2-3 games thâ¦,Potential Suicide post ,retweet deadass hate damn psn named powerpuff person game
hello new follwers,Not Suicide post,follwers
"Oops again, its t w i t t e r....",Not Suicide post,oops
"Man I want Sancho to succeed here so badly. He’s a superstar, just needs to believe it again",Not Suicide post,man sancho succeed here badly superstar
@LaraRhiannon http://twitpic.com/2ybtf - Thats just the brilliance of Tim coming out ..,Not Suicide post,brilliance tim coming
@Thehodge that is pretty awesome! it makes me want a smart car now! (and a cup of tea),Not Suicide post,pretty awesome make smart car cup tea
"RT @TigrisSafaris: The Indian Roller, a bird considered auspicious in India. #IncredibleIndia #TigrisSafaris #photooftheday #wildlifephoto",Not Suicide post,retweet indian roller bird considered auspicious india
@margb1509 It's the same here in New Zealand too. Looking forward to them starting again already! Have a great night!,Not Suicide post,here zealand forward starting great night
YOU MAKE ME FUCKING CRY EVERY NIGHT AND YOU DONT EVEN KNOW IT,Potential Suicide post ,make fucking cry night not
"late night gaming with the guys. fun times. [yesterday was a giddy day, too] &lt;3",Not Suicide post,late night gaming guy fun time yesterday giddy day
tonight's the last time i'll sport this Milla-Jovovich-esque hair http://tinyurl.com/6yabk6 ) will finally have a straight do tomorrow,Not Suicide post,tonight time sport milla jovovich esque hair finally straight tomorrow
#cloudforce is the top trend. I am surprised. But I couldn't have loved it more!,Not Suicide post,top trend surprised not loved
Our plans are coming together nicely! I am very happy indeed today,Not Suicide post,plan coming nicely happy today
"is laughing , i cant believe flea attacks dougie xx",Not Suicide post,laughing flea attack dougie xx
some people tweets a lot.ThatÃ¯Â¿Â½s cool...I guess,Not Suicide post,people tweet lot cool guess
@starrymilkteaa WOW I AM ADDING THAY TO MY LIST OF SHIT TO LISTEN TO WHEN I WANT TO DIE,Potential Suicide post ,wow adding thay list shit listen die
"@therealRC12,,Honestly I dont want to be here anymore....",Potential Suicide post ,honestly not here anymore
my unofficial diagnosis is bipolar schizoaffective disorder it was a nightmare with so much trial and error with all sorts of therapies my medication a cocktail of about 20 pills a day has gotten me to a point where i can function day to day i dont know how i feel right now all i know though is i want it to stop ,Potential Suicide post ,unofficial diagnosis bipolar schizoaffective disorder nightmare trial error sort therapy medication cocktail pill day point function day day not feel stop
"When I die, I want to have a closed casket service at my memorial. Then I want them to play âPop Goes The Weaselâ aâ¦ https://t.co/C4bKrK029g",Potential Suicide post ,die closed casket service memorial play pop weasel
Celebrating a minor banking triumph (that's banking with a b). Got one to admit it was wrong,Not Suicide post,celebrating minor banking triumph banking admit wrong
maybe i hate myself,Potential Suicide post ,hate
Iâm tired of living the regular life ð¤£,Potential Suicide post ,tired living regular life
RT @Yaanayanaa: Iâm tired of living like thisð,Potential Suicide post ,retweet tired living
@thefreerpgblog Glad you enjoyed it!,Not Suicide post,glad enjoyed
"To no one: I'm not fucking okay, stop asking me if I am. Stop asking me what's wrong. If I knew then I'd fucking saâ¦ https://t.co/iIXwUtp35x",Potential Suicide post ,not fucking stop stop wrong knew fucking sa
"@mikedignammusic hey, your stuff's quite good can you get it on itunes?",Not Suicide post,hey stuff good itunes
"If you want to win, first you need to understand the game that you’re playing.",Not Suicide post,win understand game playing
http://twitpic.com/2y7tc - My bby is so adorable,Not Suicide post,bby adorable
@willconley777 Thanks for helping share the PostRank love.,Not Suicide post,helping share postrank love
"interesting to note how twitter is like branding..the more you tweet, the more people follow - thanks for the follow Alister, Mark, Greg",Not Suicide post,interesting note twitter branding tweet people follow follow alister mark greg
#spbpuk we've got a snorer in the IT Pro track! Really it's quite interesting,Not Suicide post,snorer pro track interesting
@cydneyw http://twitpic.com/2nvz6 - We're both famous,Not Suicide post,famous
@ravogd my weird dreams are a part of my life now and make me who i am xxxxxxxxx,Not Suicide post,weird dream part life make
tired of living this lonely life,Potential Suicide post ,tired living lonely life
@helicon: that is opt-in DM invites!,Not Suicide post,opt direct message invite
"He:I knew that even if I reached my dream, it could not be everything. I love you. I was sick that we could get tirâ¦ https://t.co/Vg9o3u1JZh",Potential Suicide post ,knew reached dream not love sick tir
"Good morning, everyone! I hope you have a great start to the day! *raises cup of coffee*",Not Suicide post,good morning hope great start day raise cup coffee
@LukesMummy He was a very good boy. He looks even cuter now. If such a thing were possible.,Not Suicide post,good boy cuter thing
i want to kill him,Not Suicide post,kill
Appreciate and be grateful for every given moment and live your life with love + joy #EnjoyLife #EnjoyFriends https://t.co/1Qwj7Jtq8N,Not Suicide post,grateful moment live life love joy
"i'm fucking tired of people's tweet today omg stop treating romance like it revolves around everything, you won't dâ¦ https://t.co/nNvLE2ehr5",Potential Suicide post ,fucking tired people tweet today god stop treating romance revolves not
@micheal25 Have a great day back at ya,Not Suicide post,great day back ya
@R1B Too bad. Make it a good show,Not Suicide post,bad make good show
The jobs front doesnt look so bleak today !!,Not Suicide post,job front not bleak today
My work schedule for next week makes me want to DIE Iâm not ready,Potential Suicide post ,work schedule week make die not ready
@JamesRandom ye!! But I still rather imagine my dad is some american superstar than just a bum ^^ it keeps me happy,Not Suicide post,ye imagine dad american superstar bum happy
RT @goghsreddevils: @bosco_dumpling @CoachLanter @Cam3ronmb @Gtownfootball1 Congratulations to Coach Lanter for winning his first career gaâ¦,Not Suicide post,retweet congratulation coach lanter winning career ga
"RT @shxxyellowbin: Oh my heart hurts so good. I love you babe, so bad. @ikon_shxxbi https://t.co/aH5aObf60j",Not Suicide post,retweet heart hurt good love babe bad
"@lilbluezcluez,crawling out of hell,i dont want to be here anymore",Potential Suicide post ,crawling hell not here anymore
sbux is exclusively playing rostam and beck i am loving it,Not Suicide post,sbux exclusively playing rostam beck loving
Off work. Resisting the urge to go home and just fucking sleep forever tbh.,Potential Suicide post ,work resisting urge home fucking sleep forever honest
@alexakesson follow @hedge_funds,Not Suicide post,follow
"@julienviet the fluider an interface, the better, regardless of the purpose",Not Suicide post,fluider interface purpose
@beijingboyce Who is @Maotai? I like Maotai spirit very much!,Not Suicide post,maotai spirit
IM REALLY ABOUT TO KMS CAUSE THIS DAMN TEST OMG I HATE MYSELF FOR NOT REMEMBERING ITS TODAY,Potential Suicide post ,km damn test god hate not remembering today
@stbalkcom do u know ur joe is on here now?,Not Suicide post,joe here
now time for mouse to mouse pad for a long long night ahead! this is how you know you love it!,Not Suicide post,time mouse mouse pad long long night ahead love
"@meedee64 Coooeee, How's your day been",Not Suicide post,coe day
"I don't care how frightening it will be, I want to go ahead.",Not Suicide post,not care frightening ahead
@shotdown i like the picture,Not Suicide post,picture
i just rlly cant wait for all old white ppl to fuckijg die out !!!! im so tired of gen x &amp; y and baby boomers literâ¦ https://t.co/ucZdBw2WHv,Potential Suicide post ,wait white people fuckijg die tired gen baby boomer liter
"Home. Had uni today, got results back :HD, YEHHH! Its been 3 yrs, why am i always thinking of the wat ifs?",Not Suicide post,home uni today result back hd yeh yr thinking wat ifs
can i move out already im tired of living with this old hag,Potential Suicide post ,move tired living hag
"okay but lets be real, why am I really still here ? Iâm nothing but an annoying ass, useless, talentless person canâ¦ https://t.co/znSHgBu1JZ",Potential Suicide post ,real here annoying as useless talentless person
"Work two jobs, in school, gotta car, my own apartment, a boo , life's going good for me right now and I'm only 19",Not Suicide post,work job school car apartment boo life good
"accidentally her whole rib cage...well, nearly half of it! http://tinyurl.com/da72gp",Not Suicide post,accidentally rib cage half
"@Oomongoomong,,This is for u, the person who feels like they have no one, the person who doesnt see why they should be here anymore",Potential Suicide post ,person feel person not here anymore
all influencers want to be comedians and all comedians want to be dead.,Potential Suicide post ,influencers comedian comedian dead
RT @WeLoveDara: [CAP] Joross Gamboa greets her a happy birthday in her IG Live! ð https://t.co/sHwHEJb0vr,Not Suicide post,retweet cap joross gamboa greets happy birthday ig live
